Strompreis [Euro/kWh],Netzlast [kW]
0.2960125,0.457921394
0.2935254,0.654156168
0.2933945,0.259150662
0.2999157,0.350324357
0.3098403,0.228839937
0.3200267,0.33088202
0.3263694,0.282336555
0.3263694,0.29562014
0.3163734,1.149513119
0.3085075,0.836262039
0.3022719,0.853047659
0.3019268,0.863674527
0.2972025,0.711154823
0.2878729,0.294162721
0.2890391,0.273886734
0.2894199,0.263051419
0.289408,0.26326598
0.2894318,0.265518867
0.2911097,0.634026871
0.2971668,0.313687744
0.3018673,0.262515017
0.3052469,0.289335105
0.3084361,0.811683131
0.301546,0.872940211
0.2954056,0.388140308
0.2940609,0.625229882
0.2921807,0.471818981
0.2955246,0.259189326
0.3046162,0.368615284
0.3152786,0.199434171
0.3186344,0.270882885
0.3170517,0.438991194
0.3091858,0.639283608
0.3013199,0.840863386
0.2935135,0.869292679
0.2911573,1.368146308
0.2883013,0.20512003
0.2788051,0.294162721
0.2766512,0.273886734
0.2753779,0.263051419
0.2685116,0.26326598
0.2647155,0.265518867
0.2678214,0.634026871
0.27132,0.313687744
0.2760443,0.262515017
0.2783053,0.289335105
0.2817682,0.811683131
0.2855643,0.872940211
0.2907765,0.388140308
0.2896579,0.625229882
0.2867067,0.471818981
0.288932,0.259189326
0.2916809,0.368615284
0.296905,0.199434171
0.3061989,0.270882885
0.3088645,0.438991194
0.3076507,0.639283608
0.3041164,0.840863386
0.2969407,0.869292679
0.294168,1.368146308
0.2889558,0.20512003
0.2893604,0.301564381
0.286076,0.262652848
0.2849574,0.304482746
0.283458,0.265571213
0.2832438,0.297673228
0.2901339,0.278217461
0.3032239,0.496122046
0.3144218,0.823951712
0.3365439,0.782121814
0.3276189,1.068121582
0.3144932,0.604101551
0.3069605,0.577836266
0.2929542,0.567135594
0.2886464,0.687761347
0.2888844,0.342421491
0.2917999,1.129407247
0.3061037,0.555462134
0.3245249,0.664414427
0.3270239,0.661496062
0.3187891,0.615775011
0.3069724,0.677060675
0.2979165,0.88912853
0.2911692,0.777257873
0.2864449,0.456237725
0.294406,0.294162721
0.2905742,0.273886734
0.2882418,0.263051419
0.284767,0.26326598
0.2842553,0.265518867
0.288456,0.634026871
0.296905,0.313687744
0.3105781,0.262515017
0.3188129,0.289335105
0.3021767,0.811683131
0.2951438,0.872940211
