PV,wind,electrical load
0.0,0.16,57488.97
0.0,0.102,63077.21
0.018,0.063,70280.22
0.1,0.064,74601.4
0.216,0.065,76024.15
0.313,0.074,77285.1
0.322,0.093,78013.46
0.227,0.104,78611.53
0.137,0.095,78771.83
0.053,0.097,78392.19
0.003,0.085,77831.64
0.0,0.079,76594.73
0.0,0.071,76426.58
0.0,0.053,78024.68
0.0,0.048,77001.49
0.0,0.041,73041.65
0.0,0.016,68375.09
0.0,0.014,65014.06
0.0,0.044,62147.03
0.0,0.051,58602.54
0.0,0.042,55794.55
0.0,0.034,54583.27
0.0,0.02,54919.68
0.0,0.014,56076.13
0.0,0.015,58002.52
0.0,0.018,63587.74
0.006,0.019,70808.67
0.034,0.017,73331.14
0.05,0.015,74367.41
0.056,0.01,74636.76
0.061,0.008,75208.18
0.07,0.008,75316.72
0.061,0.008,74767.28
0.037,0.019,73373.95
0.003,0.034,73114.3
0.0,0.05,71682.95
0.0,0.071,71779.93
0.0,0.096,74301.76
0.0,0.118,73176.37
0.0,0.122,69729.11
0.0,0.119,65863.52
0.0,0.113,62696.71
0.0,0.107,59423.54
0.0,0.112,56569.87
0.0,0.113,54452.44
0.0,0.099,53281.87
0.0,0.084,53026.31
0.0,0.079,54265.39
0.0,0.084,56500.38
0.0,0.119,61783.69
0.035,0.146,68932.23
0.187,0.137,72792.26
0.427,0.143,73084.07
0.537,0.155,73597.47
0.563,0.146,74492.47
0.507,0.135,75149.96
0.33,0.118,74164.75
0.106,0.106,72471.04
0.01,0.094,72195.73
0.0,0.098,71276.73
0.0,0.092,71807.5
0.0,0.08,73788.84
0.0,0.062,72829.13
0.0,0.05,69973.31
0.0,0.046,65728.25
0.0,0.042,62582.4
0.0,0.029,58712.42
0.0,0.015,54363.56
0.0,0.009,52340.14
0.0,0.01,51651.76
0.0,0.011,51717.8
0.0,0.015,52606.73
0.0,0.028,55089.82
0.0,0.037,60508.63
0.017,0.047,68463.51
0.091,0.06,71662.0
0.216,0.053,73064.4
0.243,0.057,73164.46
0.182,0.064,73789.73
0.113,0.059,75048.91
0.059,0.05,74058.86
0.019,0.043,71972.39
0.0,0.057,71380.78
0.0,0.077,71084.6
0.0,0.072,72131.07
0.0,0.054,74526.91
0.0,0.047,72898.37
0.0,0.047,69328.61
0.0,0.05,65213.26
0.0,0.05,61876.05
0.0,0.049,59363.28
0.0,0.05,55572.86
0.0,0.05,53379.75
0.0,0.048,52325.72
0.0,0.043,52016.85
0.0,0.04,51679.06
0.0,0.041,52147.74
0.0,0.045,52044.32
0.004,0.044,54697.1
0.023,0.032,57891.68
0.046,0.021,61077.27
0.073,0.014,62690.9
0.096,0.012,64142.52
0.081,0.008,64145.35
0.057,0.006,62757.57
0.026,0.007,60576.09
0.003,0.008,59193.58
0.0,0.009,59653.91
0.0,0.009,61532.12
0.0,0.011,65757.61
0.0,0.016,64724.04
0.0,0.025,61274.69
0.0,0.036,58340.31
0.0,0.043,57399.32
0.0,0.042,54579.26
0.0,0.041,52894.59
0.0,0.041,50424.83
0.0,0.043,49093.96
0.0,0.044,48630.47
0.0,0.043,48197.53
0.0,0.042,48812.19
0.0,0.043,48240.88
0.014,0.045,49924.16
0.036,0.043,51898.79
0.04,0.034,55573.6
0.045,0.022,58420.91
0.039,0.017,61116.88
0.032,0.019,63029.3
0.026,0.023,61582.7
0.011,0.026,60299.67
0.0,0.029,59789.77
0.0,0.03,60062.49
0.0,0.034,61001.24
0.0,0.038,64435.57
0.0,0.044,63112.67
0.0,0.054,60864.97
0.0,0.064,58369.28
0.0,0.072,57496.03
0.0,0.086,55261.9
0.0,0.115,52667.13
0.0,0.16,51482.83
0.0,0.214,51540.93
0.0,0.257,51532.18
0.0,0.285,53202.15
0.0,0.296,56211.21
0.0,0.281,62455.13
0.001,0.245,69967.29
0.016,0.211,73523.27
0.048,0.188,73455.39
0.127,0.182,74721.96
0.16,0.213,74290.38
0.153,0.223,75080.85
0.108,0.238,74229.95
0.068,0.24,72366.31
0.011,0.241,70487.76
0.0,0.236,69950.32
0.0,0.228,70599.95
0.0,0.225,74465.57
0.0,0.222,74048.51
0.0,0.242,70578.27
0.0,0.247,66697.94
0.0,0.253,64281.02
0.0,0.249,60347.72
0.0,0.193,57908.88
0.0,0.177,55910.62
0.0,0.17,54609.35
0.0,0.159,55234.82
0.0,0.17,55823.8
0.0,0.169,58381.56
0.0,0.182,63510.39
0.005,0.196,70434.04
0.027,0.19,73535.75
0.044,0.151,74639.61
0.059,0.116,75307.51
0.096,0.086,76518.16
0.105,0.065,76673.79
0.083,0.051,76323.4
0.041,0.042,73815.66
0.004,0.043,72794.85
0.0,0.051,72012.09
0.0,0.081,72780.24
0.0,0.137,74702.44
0.0,0.218,74299.47
0.0,0.315,71085.28
0.0,0.394,67141.31
0.0,0.432,63856.46
0.0,0.446,60023.62
0.0,0.453,56853.78
0.0,0.479,55146.83
0.0,0.523,52875.19
0.0,0.539,53165.64
0.0,0.562,54436.26
0.0,0.534,56486.27
0.0,0.471,62569.89
0.006,0.463,70429.23
0.116,0.474,73524.46
0.318,0.438,74010.57
0.456,0.46,74300.25
0.379,0.485,75008.95
0.241,0.472,74499.27
0.185,0.458,74042.92
0.082,0.448,71917.0
0.013,0.411,70960.35
0.0,0.366,68941.21
0.0,0.32,70228.18
0.0,0.293,72989.51
0.0,0.267,72746.56
0.0,0.25,69126.78
0.0,0.24,65029.48
0.0,0.218,61892.14
0.0,0.189,58663.16
0.0,0.167,55087.06
0.0,0.153,52921.82
0.0,0.155,51876.11
0.0,0.172,51800.51
0.0,0.203,52825.45
0.0,0.231,54990.76
0.0,0.312,60605.86
0.003,0.369,68057.43
0.01,0.416,70925.33
0.014,0.461,71587.14
0.02,0.502,72840.24
